Date: 2018-06-25 14:17:47.443167, User:1684601@Damir):  /status 
Date: 2018-06-25 14:55:11.886383, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 14:56:14.787161, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 14:57:07.659333, User:1684601@Damir):  /status 
Date: 2018-06-25 14:57:09.550299, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 14:57:49.730538, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 14:58:34.716042, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:04:50.452270, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:09:23.085293, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:10:10.284538, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:11:03.973197, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:20:00.652558, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:20:42.280660, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:21:32.838185, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:32:14.464114, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:32:42.740053, User:1684601@Damir):  /statis_prox 
Date: 2018-06-25 15:49:18.514995, User:1684601@Damir):  /shell 
Date: 2018-06-25 15:49:38.630995, User:1684601@Damir):  ping 8.8.8.8 
Date: 2018-06-25 15:52:25.894053, User:1684601@Damir):  ping 8.8.8.8 -c 2\ 
Date: 2018-06-25 15:52:47.965728, User:1684601@Damir):  ping 8.8.8.8 -c 2 
Date: 2018-06-25 15:52:56.461846, User:1684601@Damir):  ping 8.8.8.8 -c 2 
Date: 2018-06-25 15:53:26.240476, User:1684601@Damir):  /shell 
Date: 2018-06-25 15:53:31.713557, User:1684601@Damir):  ping 8.8.8.8 -c 2 
Date: 2018-06-25 15:54:29.153463, User:1684601@Damir):  exit 
Date: 2018-06-25 16:07:57.712362, User:1684601@Damir):  exit 
Date: 2018-06-25 16:08:03.212412, User:1684601@Damir):  /shell 
Date: 2018-06-25 16:08:06.351747, User:1684601@Damir):  ls 
Date: 2018-06-25 16:08:08.010440, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:09.894734, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:18.370410, User:1684601@Damir):  exit 
Date: 2018-06-25 16:08:25.660462, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:25.922784, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:25.998123, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:26.070094, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:26.129628, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:26.191183, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:08:26.251076, User:1684601@Damir):  Stop 
Date: 2018-06-25 16:17:39.469607, User:478204689@Анастасия):  Привет!) 
Date: 2018-06-25 16:17:56.481548, User:1684601@Damir):  /client 
Date: 2018-06-25 16:17:59.823391, User:1684601@Damir):  /client 
Date: 2018-06-25 16:18:02.492630, User:1684601@Damir):  /status 
Date: 2018-06-25 16:18:06.572930, User:1684601@Damir):  /statis_prox 
